application_date,age,annual_income,credit_score,employment_status,education_level,experience,loan_amount,loan_duration,marital_status,number_of_dependents,home_ownership_status,monthly_debt_payments,credit_card_utilisation_rate,number_of_open_credit_lines,number_of_credit_inquiries,bankruptcy_history,loan_purpose,previous_loan_defaults,payment_history,length_of_credit_history,savings_account_balance,checking_account_balance,total_assets,total_liabilities,monthly_income,utility_bills_payment_history,job_tenure,net_worth,base_interest_rate,interest_rate,monthly_loan_payment,debt_to_income_ratio,total_debt_to_income_ratio,loan_approved,risk_score,employment_stability,low_employment_risk,employment_tenure_squared,recent_job_change,high_debt_burden,debt_to_assets_ratio,net_worth_risk,financial_cushion,savings_to_loan_ratio,good_payment_history,new_credit_user,credit_seeking_behavior,high_card_utilisation,number_open_accounts_risk,excellent_credit,very_good_credit,good_credit,fair_credit,poor_credit,home_owner,mortgaged_home,renting,above_median_income,monthly_surplus,insufficient_income_buffer,has_dependents,high_dependent_burden,single_with_dependents,education_score,advanced_degree,long_term_loan,large_loan_amount,loan_to_income_ratio,risky_loan_purpose,financial_stress_score,multiple_risk_factors,bankruptcy_flag,previous_defaults,default_history,utility_payment_risk,risky_behavior_cluster,young_borrower,retirement_age,married
2018-01-03,45,68809,546,0,0,24,22777,48,1,0,0,397,0.340171183460741,1,1,0,0,0,94,14,443,1519,158227,32866,5734.083333333333,0.9623923196974938,4,125361,0.2005083876092085,0.207510953864192,702.259885981718,0.069223056915767,0.1916728706612896,1,1.271706172123418,1,0,16,0,0,0.20771292059559623,0,1962,0.08613574501712179,1,1,0,0,0,0,0,0,0,1,0,1,0,1,5337.083333333333,0,0,0,0,2,0,1,0,0.33101293416654554,0,1,0,0,0,0,0,0,0,0,1
2018-01-04,38,15000,575,0,3,16,10155,12,1,3,2,154,0.296695237874745,3,0,0,1,0,95,29,2630,557,39094,10310,1250.0,0.7593740339560656,8,28784,0.1738064549857061,0.163412904783834,923.0127479699818,0.123101518784972,0.8609214612070198,1,3.9779914643955294,1,1,64,0,0,0.2637165877989513,0,3187,0.3138046474990154,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1096.0,0,1,1,0,1,0,0,0,0.676954869675355,1,0,0,0,0,0,0,0,0,0,1
2018-01-05,47,137921,522,0,2,26,263359,360,0,2,2,508,0.3221370902402037,1,0,0,3,0,96,9,10989,1488,27594,21758,11493.416666666666,0.8669646210625384,7,5836,0.3171203192991177,0.25,5489.92545005429,0.0441953702159744,0.521812078332607,0,2.1104704094548303,1,1,49,0,0,0.7884761732197862,0,12477,0.047376215066828674,1,1,0,0,0,0,0,0,0,1,1,0,0,1,10985.416666666666,0,1,0,0,5,1,1,1,1.9094778207972622,0,1,0,0,0,0,0,0,0,0,0
2018-01-06,58,39656,553,0,1,36,41676,24,2,0,0,251,0.2465979260331042,1,1,0,0,0,96,29,1609,199,62912,19700,3304.6666666666665,0.8333974691625244,6,43212,0.1891594261742173,0.2002351702350415,2121.612296037971,0.0759302208329131,0.7177409386017862,0,3.0659797551801686,1,1,36,0,0,0.31313083146567483,0,1808,0.04338124145211988,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3053.6666666666665,0,0,0,0,3,0,0,0,1.050911566684318,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,37,82748,416,0,1,18,15629,24,2,3,2,500,0.1263549675568291,1,0,0,1,0,98,13,13096,605,401474,20274,6895.666666666667,0.7832302895479025,8,381200,0.2574142368558539,0.25,834.1434906942621,0.0724987916868052,0.1934475820243009,1,2.0825863872876016,1,1,64,0,0,0.050498785727629364,0,13701,0.8765834932821497,1,1,0,0,0,0,0,0,0,1,1,0,0,1,6395.666666666667,0,1,1,1,3,0,0,0,0.1888723730800372,1,1,0,0,0,0,0,0,0,0,0
2018-01-09,37,66080,469,0,3,14,36020,72,1,1,3,277,0.1754871537599694,3,1,0,0,0,93,29,1181,3646,166617,16976,5506.666666666667,0.7728685229960138,3,149641,0.2471229643451747,0.25,970.2771202142044,0.0502935302305876,0.2264619839401206,0,2.683158374361366,1,0,9,0,0,0.10188575063918665,0,4827,0.13400516365453485,1,0,0,0,0,0,0,0,0,1,0,0,1,1,5229.666666666667,0,1,0,0,1,0,1,0,0.5450886033806994,0,0,0,0,0,0,0,0,0,0,1
2018-01-10,58,35041,616,0,0,35,25791,60,3,1,3,233,0.3371296769270352,1,0,0,2,0,95,2,805,345,20100,18169,2920.083333333333,0.8718521873062415,5,1931,0.1695394549113266,0.1460502243995765,608.2318621154177,0.079764927395658,0.2879862592469977,1,1.8839702615184977,1,1,25,0,0,0.9038853788368738,0,1150,0.044587468982630274,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2687.083333333333,0,1,0,0,2,0,1,0,0.7360025112721876,0,1,0,0,0,0,0,0,0,0,0
2018-01-12,49,80370,590,0,0,28,116929,300,1,2,3,433,0.0299510549994001,3,0,0,3,1,100,18,606,991,29149,38984,6697.5,0.869202961984871,5,6130,0.2629173326860336,0.25,2441.045683442352,0.0646413376128984,0.4290581000884305,0,2.910652265689393,1,1,25,0,0,1.3373584905660378,0,1597,0.013657743949371418,1,1,0,0,0,0,0,0,0,1,0,0,1,1,6264.5,0,1,0,0,2,0,1,1,1.4548655609610432,0,1,0,0,1,1,0,0,0,0,1
2018-01-12,34,30762,534,0,3,10,15042,60,2,2,2,278,0.1350776988533784,5,1,0,0,0,96,7,3482,432,152992,4396,2563.5,0.523913190580338,6,148596,0.2104046670114244,0.2067816858843796,404.21819776899184,0.1084031975043868,0.266023863431075,1,2.749787236456153,1,1,36,0,0,0.028733340741079656,0,3914,0.2601874626071927,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2285.5,0,1,0,1,1,0,1,0,0.48896401521308064,0,1,0,0,0,0,1,0,0,0,0
2018-01-15,46,15000,595,0,3,22,9477,24,1,1,0,103,0.2499115145039591,0,1,0,4,0,96,24,397,177,69340,13505,1250.0,0.6219009589656915,5,55835,0.1677891821506319,0.1302249059498889,450.6539740017214,0.0823341326938449,0.4425691239022553,1,1.9566157672083728,1,1,25,0,0,0.19476211765045212,0,574,0.060561299852289516,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1147.0,0,1,0,0,1,0,0,0,0.6317578828078129,1,0,0,0,0,0,1,0,0,0,1
