ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilisationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,DebtToIncomeRatio,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-03,45,68809,546,Employed,Associate,24,22777,48,Married,0,Mortgage,397,0.34017118346074104,1,1,0,Auto,0,94,14,443,1519,158227,32866,5734.083333333333,0.9623923196974938,4,125361,0.20050838760920858,0.207510953864192,702.259885981718,0.069223056915767,0.19167287066128968,1,1.271706172123418
2018-01-04,38,15000,575,Employed,High School,16,10155,12,Married,3,Own,154,0.29669523787474505,3,0,0,Debt Consolidation,0,95,29,2630,557,39094,10310,1250.0,0.7593740339560656,8,28784,0.17380645498570615,0.163412904783834,923.0127479699818,0.12310151878497202,0.8609214612070198,1,3.9779914643955294
2018-01-05,47,137921,522,Employed,Doctorate,26,263359,360,Divorced,2,Own,508,0.3221370902402037,1,0,0,Home,0,96,9,10989,1488,27594,21758,11493.416666666666,0.8669646210625384,7,5836,0.3171203192991177,0.25,5489.92545005429,0.044195370215974424,0.521812078332607,0,2.1104704094548303
2018-01-06,58,39656,553,Employed,Bachelor,36,41676,24,Single,0,Mortgage,251,0.24659792603310424,1,1,0,Auto,0,96,29,1609,199,62912,19700,3304.6666666666665,0.8333974691625244,6,43212,0.18915942617421735,0.20023517023504153,2121.612296037971,0.07593022083291319,0.7177409386017862,0,3.0659797551801686
2018-01-09,37,82748,416,Employed,Bachelor,18,15629,24,Single,3,Own,500,0.12635496755682915,1,0,0,Debt Consolidation,0,98,13,13096,605,401474,20274,6895.666666666667,0.7832302895479025,8,381200,0.2574142368558539,0.25,834.1434906942621,0.07249879168680522,0.19344758202430096,1,2.0825863872876016
2018-01-09,37,66080,469,Employed,High School,14,36020,72,Married,1,Rent,277,0.1754871537599694,3,1,0,Auto,0,93,29,1181,3646,166617,16976,5506.666666666667,0.7728685229960138,3,149641,0.2471229643451747,0.25,970.2771202142045,0.05029353023058766,0.22646198394012063,0,2.683158374361366
2018-01-10,58,35041,616,Employed,Associate,35,25791,60,Widowed,1,Rent,233,0.33712967692703527,1,0,0,Education,0,95,2,805,345,20100,18169,2920.0833333333335,0.8718521873062415,5,1931,0.1695394549113266,0.14605022439957654,608.2318621154177,0.079764927395658,0.2879862592469977,1,1.8839702615184977
2018-01-12,49,80370,590,Employed,Associate,28,116929,300,Married,2,Rent,433,0.029951054999400106,3,0,0,Home,1,100,18,606,991,29149,38984,6697.5,0.869202961984871,5,6130,0.2629173326860336,0.25,2441.045683442352,0.0646413376128984,0.42905810008843054,0,2.910652265689393
2018-01-12,34,30762,534,Employed,High School,10,15042,60,Single,2,Own,278,0.1350776988533784,5,1,0,Auto,0,96,7,3482,432,152992,4396,2563.5,0.523913190580338,6,148596,0.21040466701142443,0.20678168588437967,404.21819776899184,0.10840319750438682,0.266023863431075,1,2.749787236456153
2018-01-15,46,15000,595,Employed,High School,22,9477,24,Married,1,Mortgage,103,0.24991151450395915,0,1,0,Other,0,96,24,397,177,69340,13505,1250.0,0.6219009589656915,5,55835,0.1677891821506319,0.13022490594988892,450.6539740017214,0.08233413269384493,0.44256912390225533,1,1.9566157672083726
2018-01-15,34,112822,593,Employed,Master,15,30442,60,Widowed,0,Own,833,0.06441083632794196,3,1,0,Education,0,91,3,5981,1083,26436,9926,9401.833333333334,0.9222140835340946,8,16510,0.18108090284041323,0.1755139792825709,765.6169342994085,0.08859031852101316,0.17001438583753922,1,0.9249941507390673
2018-01-16,34,27254,619,Employed,High School,13,10358,36,Married,2,Mortgage,128,0.2793707579348625,4,0,0,Other,0,97,7,3876,218,155290,47912,2271.1666666666665,0.8087041181966618,5,107378,0.15981140274651456,0.18923276990383855,379.2813791933008,0.05633389569427126,0.2232588773681365,0,1.0441501167937859
2018-01-16,42,29994,605,Employed,High School,21,12043,12,Married,2,Mortgage,156,0.17863973625558438,2,3,0,Other,0,92,7,6165,2336,46117,16109,2499.5,0.7249301580836465,3,30008,0.1588490804724004,0.160842320167714,1093.1518163252642,0.0623875224955009,0.49956081436723226,1,2.376757960257643
2018-01-18,18,38292,452,Employed,Bachelor,0,6365,24,Married,3,Rent,313,0.15889655124375998,5,4,0,Other,0,89,23,1941,1451,68201,13966,3191.0,0.6563974822780272,1,54235,0.23918968165196053,0.25,339.70972667918477,0.09805764411027569,0.2044829970799451,1,2.8636261064023754
2018-01-19,19,48532,432,Employed,Bachelor,0,15640,36,Widowed,1,Mortgage,385,0.4828098378043665,5,0,0,Debt Consolidation,0,98,2,3719,3245,38962,15763,4044.3333333333335,0.6913078782350075,4,23199,0.25341441273766857,0.25,621.8436770956379,0.09517139090309822,0.24889016408099154,1,2.3668792035421604
2018-01-19,33,38551,533,Employed,High School,11,181290,360,Married,2,Own,221,0.2336628527882609,1,2,0,Home,0,98,8,814,3153,16636,12925,3212.5833333333335,0.9573355042663996,8,3711,0.31152696468850816,0.25,3779.1326092533095,0.0687705832015144,1.2447577032658173,0,3.776751141219422
